date,new_cases,cumulative_cases
2020/1/31,2,2
2020/2/1,0,2
2020/2/2,0,2
2020/2/3,6,8
2020/2/4,0,8
2020/2/5,1,9
2020/2/6,0,9
2020/2/7,0,9
2020/2/8,4,13
2020/2/9,1,14
2020/2/10,0,14
2020/2/11,1,15
2020/2/12,1,16
2020/2/13,1,17
2020/2/14,1,18
2020/2/15,0,18
2020/2/16,0,18
2020/2/17,1,19
2020/2/18,0,19
2020/2/19,1,20
2020/2/20,2,22
2020/2/21,1,23
2020/2/22,0,23
2020/2/23,5,28
2020/2/24,2,30
2020/2/25,4,34
2020/2/26,3,37
2020/2/27,7,44
2020/2/28,12,56
2020/2/29,5,61
2020/3/1,33,94
2020/3/2,40,134
2020/3/3,55,189
2020/3/4,57,246
2020/3/5,49,295
2020/3/6,79,374
2020/3/7,55,429
2020/3/8,54,483
2020/3/9,147,630
2020/3/10,259,889
2020/3/11,412,1301
2020/3/12,489,1790
2020/3/13,480,2270
2020/3/14,364,2634
2020/3/15,443,3077
2020/3/16,615,3692
2020/3/17,770,4462
2020/3/18,1006,5468
2020/3/19,1066,6534
2020/3/20,1258,7792
2020/3/21,1215,9007
2020/3/22,1388,10395
2020/3/23,2349,12744
2020/3/24,2382,15126
2020/3/25,2717,17843
2020/3/26,3127,20970
2020/3/27,3249,24219
2020/3/28,2843,27062
2020/3/29,2892,29954
2020/3/30,4327,34281
2020/3/31,4534,38815
2020/4/1,4974,43789
2020/4/2,4929,48718
2020/4/3,4981,53699
2020/4/4,4073,57772
2020/4/5,3650,61422
2020/4/6,5316,66738
2020/4/7,5486,72224
2020/4/8,5163,77387
2020/4/9,4906,82293
2020/4/10,4367,86660
2020/4/11,3613,90273
2020/4/12,3539,93812
2020/4/13,4205,98017
2020/4/14,4348,102365
2020/4/15,5100,107465
2020/4/16,5343,112808
2020/4/17,4990,117798
2020/4/18,4736,122534
2020/4/19,3860,126394
2020/4/20,4866,131260
2020/4/21,4775,136035
2020/4/22,5505,141540
2020/4/23,5168,146708
2020/4/24,4981,151689
2020/4/25,3764,155453
2020/4/26,3473,158926
2020/4/27,4704,163630
2020/4/28,4727,168357
2020/4/29,5450,173807
2020/4/30,4964,178771
2020/5/1,4730,183501
2020/5/2,3230,186731
2020/5/3,2977,189708
2020/5/4,3383,193091
2020/5/5,3689,196780
2020/5/6,3836,200616
2020/5/7,3771,204387
2020/5/8,3052,207439
2020/5/9,2150,209589
2020/5/10,2322,211911
2020/5/11,3589,215500
2020/5/12,3395,218895
2020/5/13,3300,222195
2020/5/14,2618,224813
2020/5/15,2521,227334
2020/5/16,2072,229406
2020/5/17,1826,231232
2020/5/18,2577,233809
2020/5/19,3058,236867
2020/5/20,2712,239579
2020/5/21,2554,242133
2020/5/22,2041,244174
2020/5/23,1508,245682
2020/5/24,1355,247037
2020/5/25,1613,248650
2020/5/26,1659,250309
2020/5/27,1809,252118
2020/5/28,1736,253854
2020/5/29,1508,255362
2020/5/30,1107,256469
2020/5/31,1070,257539
2020/6/1,1444,258983
2020/6/2,1470,260453
2020/6/3,1349,261802
2020/6/4,1238,263040
2020/6/5,1110,264150
2020/6/6,794,264944
2020/6/7,718,265662
2020/6/8,1094,266756
2020/6/9,1159,267915
2020/6/10,1186,269101
2020/6/11,1007,270108
2020/6/12,1054,271162
2020/6/13,888,272050
2020/6/14,807,272857
2020/6/15,1031,273888
2020/6/16,1083,274971
2020/6/17,999,275970
2020/6/18,1020,276990
2020/6/19,984,277974
2020/6/20,666,278640
2020/6/21,624,279264
2020/6/22,892,280156
2020/6/23,882,281038
2020/6/24,777,281815
2020/6/25,697,282512
2020/6/26,639,283151
2020/6/27,634,283785
2020/6/28,407,284192
2020/6/29,620,284812
2020/6/30,404,285216
2020/7/1,63,285279
2020/7/2,6,285285
2020/7/3,502,285787
2020/7/4,625,286412
2020/7/5,519,286931
2020/7/6,359,287290
2020/7/7,584,287874
2020/7/8,637,288511
2020/7/9,643,289154
2020/7/10,524,289678
2020/7/11,826,290504
2020/7/12,650,291154
2020/7/13,537,291691
2020/7/14,1240,292931
2020/7/15,538,293469
2020/7/16,647,294116
2020/7/17,687,294803
2020/7/18,829,295632
2020/7/19,726,296358
2020/7/20,586,296944
2020/7/21,445,297389
2020/7/22,563,297952
2020/7/23,779,298731
2020/7/24,769,299500
2020/7/25,770,300270
2020/7/26,750,301020
2020/7/27,688,301708
2020/7/28,553,302261
2020/7/29,802,303063
2020/7/30,847,303910
2020/7/31,883,304793
2020/8/1,769,305562
2020/8/2,747,306309
2020/8/3,942,307251
2020/8/4,675,307926
2020/8/5,906,308832
2020/8/6,964,309796
2020/8/7,900,310696
2020/8/8,765,311461
2020/8/9,1113,312574
2020/8/10,818,313392
2020/8/11,1150,314542
2020/8/12,1039,315581
2020/8/13,1148,316729
2020/8/14,1461,318190
2020/8/15,1042,319232
2020/8/16,1111,320343
2020/8/17,721,321064
2020/8/18,1113,322177
2020/8/19,831,323008
2020/8/20,1195,324203
2020/8/21,1060,325263
2020/8/22,1332,326595
2020/8/23,1048,327643
2020/8/24,977,328620
2020/8/25,1201,329821
2020/8/26,1146,330967
2020/8/27,1542,332509
2020/8/28,1297,333806
2020/8/29,1110,334916
2020/8/30,1752,336668
2020/8/31,1415,338083
2020/9/1,1332,339415
2020/9/2,1514,340929
2020/9/3,1779,342708
2020/9/4,1978,344686
2020/9/5,1827,346513
2020/9/6,2987,349500
2020/9/7,2953,352453
2020/9/8,2481,354934
2020/9/9,2681,357615
2020/9/10,2931,360546
2020/9/11,3544,364090
2020/9/12,3504,367594
2020/9/13,3338,370932
2020/9/14,2625,373557
2020/9/15,3115,376672
2020/9/16,4007,380679
2020/9/17,3410,384089
2020/9/18,4329,388418
2020/9/19,4429,392847
2020/9/20,3899,396746
2020/9/21,4378,401124
2020/9/22,4936,406060
2020/9/23,6187,412247
2020/9/24,6644,418891
2020/9/25,6878,425769
2020/9/26,6050,431819
2020/9/27,5700,437519
2020/9/28,4056,441575
2020/9/29,7156,448731
2020/9/30,7117,455848
2020/10/1,6929,462777
2020/10/2,6994,469771
2020/10/3,12885,482656
2020/10/4,22965,505621
2020/10/5,12603,518224
2020/10/6,14557,532781
2020/10/7,14173,546954
2020/10/8,17550,564504
2020/10/9,13888,578392
2020/10/10,15175,593567
2020/10/11,12882,606449
2020/10/12,14011,620460
2020/10/13,17250,637710
2020/10/14,19751,657461
2020/10/15,18996,676457
2020/10/16,15657,692114
2020/10/17,16186,708300
2020/10/18,16994,725294
2020/10/19,18830,744124
2020/10/20,21365,765489
2020/10/21,26707,792196
2020/10/22,21257,813453
2020/10/23,20559,834012
2020/10/24,23033,857045
2020/10/25,19797,876842
2020/10/26,20900,897742
2020/10/27,22924,920666
2020/10/28,24714,945380
2020/10/29,23078,968458
2020/10/30,24418,992876
2020/10/31,21919,1014795
2020/11/1,23261,1038056
2020/11/2,18967,1057023
2020/11/3,20078,1077101
2020/11/4,25206,1102307
2020/11/5,24164,1126471
2020/11/6,23322,1149793
2020/11/7,24979,1174772
2020/11/8,20580,1195352
2020/11/9,21397,1216749
2020/11/10,20451,1237200
2020/11/11,23000,1260200
2020/11/12,33517,1293717
2020/11/13,27316,1321033
2020/11/14,26876,1347909
2020/11/15,24977,1372886
2020/11/16,21416,1394302
2020/11/17,20060,1414362
2020/11/18,19645,1434007
2020/11/19,22936,1456943
2020/11/20,20274,1477217
2020/11/21,19921,1497138
2020/11/22,18667,1515805
2020/11/23,15465,1531270
2020/11/24,11344,1542614
2020/11/25,18261,1560875
2020/11/26,17557,1578432
2020/11/27,14821,1593253
2020/11/28,15891,1609144
2020/11/29,12164,1621308
2020/11/30,12428,1633736
2020/12/1,13497,1647233
2020/12/2,16237,1663470
2020/12/3,14951,1678421
2020/12/4,16382,1694803
2020/12/5,15579,1710382
2020/12/6,17372,1727754
2020/12/7,14774,1742528
2020/12/8,12386,1754914
2020/12/9,16634,1771548
2020/12/10,21066,1792614
2020/12/11,21784,1814398
2020/12/12,21554,1835952
2020/12/13,18541,1854493
2020/12/14,20377,1874870
2020/12/15,18569,1893439
2020/12/16,25300,1918739
2020/12/17,35532,1954271
2020/12/18,28560,1982831
2020/12/19,27249,2010080
2020/12/20,36084,2046164
2020/12/21,33517,2079681
2020/12/22,36931,2116612
2020/12/23,39387,2155999
2020/12/24,39149,2195148
2020/12/25,32803,2227951
2020/12/26,34788,2262739
2020/12/27,32493,2295232
2020/12/28,41460,2336692
2020/12/29,53275,2389967
2020/12/30,50239,2440206
2020/12/31,56029,2496235
2021/1/1,53458,2549693
2021/1/2,57853,2607546
2021/1/3,55157,2662703
2021/1/4,58923,2721626
2021/1/5,61087,2782713
2021/1/6,62556,2845269
2021/1/7,52787,2898056
2021/1/8,68192,2966248
2021/1/9,60098,3026346
2021/1/10,55026,3081372
2021/1/11,46275,3127647
2021/1/12,45648,3173295
2021/1/13,47662,3220957
2021/1/14,48804,3269761
2021/1/15,55885,3325646
2021/1/16,41428,3367074
2021/1/17,38670,3405744
2021/1/18,37610,3443354
2021/1/19,33454,3476808
2021/1/20,38992,3515800
2021/1/21,37977,3553777
2021/1/22,40321,3594098
2021/1/23,33652,3627750
2021/1/24,30111,3657861
2021/1/25,22244,3680105
2021/1/26,20167,3700272
2021/1/27,25369,3725641
2021/1/28,28811,3754452
2021/1/29,29145,3783597
2021/1/30,23400,3806997
2021/1/31,21190,3828187
2021/2/1,18668,3846855
2021/2/2,16906,3863761
2021/2/3,19215,3882976
2021/2/4,20734,3903710
2021/2/5,19204,3922914
2021/2/6,18363,3941277
2021/2/7,15904,3957181
2021/2/8,14138,3971319
2021/2/9,12441,3983760
2021/2/10,13077,3996837
2021/2/11,13543,4010380
2021/2/12,15198,4025578
2021/2/13,13355,4038933
2021/2/14,10991,4049924
2021/2/15,9776,4059700
2021/2/16,10636,4070336
2021/2/17,12760,4083096
2021/2/18,12095,4095191
2021/2/19,12099,4107290
2021/2/20,10453,4117743
2021/2/21,9835,4127578
2021/2/22,10659,4138237
2021/2/23,8523,4146760
2021/2/24,9947,4156707
2021/2/25,10020,4166727
2021/2/26,8588,4175315
2021/2/27,7457,4182772
2021/2/28,6055,4188827
2021/3/1,5462,4194289
2021/3/2,6411,4200700
2021/3/3,6420,4207120
2021/3/4,6644,4213764
2021/3/5,6024,4219788
2021/3/6,6118,4225906
2021/3/7,5260,4231166
2021/3/8,4823,4235989
2021/3/9,5869,4241858
2021/3/10,6021,4247879
2021/3/11,6835,4254714
2021/3/12,6684,4261398
2021/3/13,5617,4267015
2021/3/14,4695,4271710
2021/3/15,5130,4276840
2021/3/16,5363,4282203
2021/3/17,5793,4287996
2021/3/18,6332,4294328
2021/3/19,4872,4299200
2021/3/20,5639,4304839
2021/3/21,5356,4310195
2021/3/22,5407,4315602
2021/3/23,5417,4321019
2021/3/24,5626,4326645
2021/3/25,6277,4332922
2021/3/26,6235,4339157
2021/3/27,3909,4343066
2021/3/28,3947,4347013
2021/3/29,4783,4351796
2021/3/30,4071,4355867
2021/3/31,4115,4359982
2021/4/1,4565,4364547
2021/4/2,3422,4367969
2021/4/3,3424,4371393
2021/4/4,2405,4373798
2021/4/5,2831,4376629
2021/4/6,2404,4379033
2021/4/7,2797,4381830
2021/4/8,3124,4384954
2021/4/9,-4787,4380167
2021/4/10,2713,4382880
2021/4/11,1730,4384610
2021/4/12,3686,4388296
2021/4/13,2505,4390801
2021/4/14,2529,4393330
2021/4/15,2766,4396096
2021/4/16,2807,4398903
2021/4/17,2273,4401176
2021/4/18,1884,4403060
2021/4/19,3054,4406114
2021/4/20,2530,4408644
2021/4/21,2424,4411068
2021/4/22,2766,4413834
2021/4/23,2754,4416588
2021/4/24,2122,4418710
2021/4/25,1733,4420443
2021/4/26,2119,4422562
2021/4/27,2697,4425259
2021/4/28,2131,4427390
2021/4/29,2459,4429849
2021/4/30,2397,4432246
2021/5/1,1911,4434157
2021/5/2,1674,4435831
2021/5/3,1674,4437505
2021/5/4,1984,4439489
2021/5/5,2155,4441644
2021/5/6,2618,4444262
2021/5/7,2490,4446752
2021/5/8,2056,4448808
2021/5/9,1770,4450578
2021/5/10,2378,4452956
2021/5/11,2490,4455446
2021/5/12,2296,4457742
2021/5/13,2663,4460405
2021/5/14,2198,4462603
2021/5/15,2060,4464663
2021/5/16,1926,4466589
2021/5/17,1993,4468582
2021/5/18,-2362,4466220
2021/5/19,2146,4468366
2021/5/20,2699,4471065
2021/5/21,2708,4473773
2021/5/22,2524,4476297
2021/5/23,2093,4478390
2021/5/24,2370,4480760
2021/5/25,2417,4483177
2021/5/26,2991,4486168
2021/5/27,3384,4489552
2021/5/28,4030,4493582
2021/5/29,3241,4496823
2021/5/30,3114,4499937
2021/5/31,3294,4503231
2021/6/1,3102,4506333
2021/6/2,4264,4510597
2021/6/3,5181,4515778
2021/6/4,6144,4521922
2021/6/5,5655,4527577
2021/6/6,5225,4532802
2021/6/7,5597,4538399
2021/6/8,5973,4544372
2021/6/9,7322,4551694
2021/6/10,7239,4558933
2021/6/11,7960,4566893
2021/6/12,7552,4574445
2021/6/13,7334,4581779
2021/6/14,7621,4589400
2021/6/15,7594,4596994
2021/6/16,8811,4605805
2021/6/17,10823,4616628
2021/6/18,10287,4626915
2021/6/19,10076,4636991
2021/6/20,9077,4646068
2021/6/21,10468,4656536
2021/6/22,11507,4668043
2021/6/23,15943,4683986
2021/6/24,16705,4700691
2021/6/25,15374,4716065
2021/6/26,17946,4734011
2021/6/27,14633,4748644
2021/6/28,22723,4771367
2021/6/29,20261,4791628
2021/6/30,25670,4817298
2021/7/1,27646,4844944
2021/7/2,26863,4871807
2021/7/3,24465,4896272
2021/7/4,23896,4920168
2021/7/5,27106,4947274
2021/7/6,28629,4975903
2021/7/7,32061,5007964
2021/7/8,32096,5040060
2021/7/9,35885,5075945
2021/7/10,31835,5107780
2021/7/11,31382,5139162
2021/7/12,34810,5173972
2021/7/13,36500,5210472
2021/7/14,42183,5252655
2021/7/15,48641,5301296
2021/7/16,51949,5353245
2021/7/17,54183,5407428
2021/7/18,47848,5455276
2021/7/19,40671,5495947
2021/7/20,46688,5542635
2021/7/21,44081,5586716
2021/7/22,40029,5626745
2021/7/23,36093,5662838
2021/7/24,31624,5694462
