date,total_vaccinations,people_vaccinated,people_fully_vaccinated
2020/12/14,5,5,0
2020/12/15,723,723,0
2020/12/16,3023,3023,0
2020/12/17,7202,7202,0
2020/12/18,11174,11174,0
2020/12/19,11894,11894,0
2020/12/20,12738,12738,0
2020/12/21,20866,20866,0
2020/12/22,26603,26603,0
2020/12/23,35089,35089,0
2020/12/24,45398,45398,0
2020/12/25,45398,45398,0
2020/12/26,48417,48417,0
2020/12/27,52280,52280,0
2020/12/28,59449,59449,0
2020/12/29,70463,70463,0
2020/12/30,84142,84142,0
2020/12/31,97582,97582,0
2021/1/1,103790,103790,0
2021/1/2,108732,108732,0
2021/1/3,114034,114034,0
2021/1/4,137735,137735,0
2021/1/5,155197,155197,0
2021/1/6,183360,182930,430
2021/1/7,219446,218359,1087
2021/1/8,260654,258627,2027
2021/1/9,296241,293301,2940
2021/1/10,319603,316661,2942
2021/1/11,359049,356107,2942
2021/1/12,388493,385470,3023
2021/1/13,419209,407278,11931
2021/1/14,459492,445000,14492
2021/1/15,507687,489693,17994
2021/1/16,543291,524177,19114
2021/1/17,570742,550438,20304
2021/1/18,614666,593632,21034
2021/1/19,653653,629268,24385
2021/1/20,696242,659194,37048
2021/1/21,738864,695612,43252
2021/1/22,776606,727115,49491
2021/1/23,801238,747434,53804
2021/1/24,816451,760010,56441
2021/1/25,839949,775296,64653
2021/1/26,868454,795643,72811
2021/1/27,891324,809128,82196
2021/1/28,916027,824083,91944
2021/1/29,937199,836024,101175
2021/1/30,952212,842711,109501
2021/1/31,957229,845339,111890
2021/2/1,975492,859175,116317
2021/2/2,988202,867115,121087
2021/2/3,1001468,871335,130133
2021/2/4,1020066,877629,142437
2021/2/5,1042901,887398,155503
2021/2/6,1064370,895383,168987
2021/2/7,1077297,900713,176584
2021/2/8,1098746,911312,187434
2021/2/9,1124517,920458,204059
2021/2/10,1154277,930286,223991
2021/2/11,1186689,942589,244100
2021/2/12,1221839,955013,266826
2021/2/13,1255076,967606,287470
2021/2/14,1272900,971168,301732
2021/2/15,1282761,972779,309982
2021/2/16,1308918,981148,327770
2021/2/17,1329398,985975,343423
2021/2/18,1356423,993291,363132
2021/2/19,1404273,1016579,387694
2021/2/20,1453980,1049514,404466
2021/2/21,1496377,1078899,417478
2021/2/22,1558110,1108564,449546
2021/2/23,1606472,1138700,467772
2021/2/24,1652562,1170515,482047
2021/2/25,1711455,1212595,498860
2021/2/26,1778706,1266731,511975
2021/2/27,1840435,1320653,519782
2021/2/28,1887059,1362034,525025
2021/3/1,1946200,1407961,538239
2021/3/2,2018238,1470034,548204
2021/3/3,2091700,1537273,554427
2021/3/4,2169417,1610535,558882
2021/3/5,2255174,1693203,561971
2021/3/6,2329622,1765405,564217
2021/3/7,2387189,1821470,565719
2021/3/8,2473868,1898266,575602
2021/3/9,2543253,1964221,579032
2021/3/10,2621289,2037806,583483
2021/3/11,2719317,2131666,587651
2021/3/12,2830164,2239490,590674
2021/3/13,2934007,2340676,593331
2021/3/14,3026665,2431332,595333
2021/3/15,3151305,2550387,600918
2021/3/16,3271309,2666388,604921
2021/3/17,3409996,2799925,610071
2021/3/18,3566328,2950647,615681
2021/3/19,3729312,3107711,621601
2021/3/20,3862685,3236471,626214
2021/3/21,3954285,3324329,629956
2021/3/22,4100558,3467046,633512
2021/3/23,4223272,3585845,637427
2021/3/24,4393876,3751505,642371
2021/3/25,4583950,3934959,648991
2021/3/26,4800931,4143640,657291
2021/3/27,4967497,4304842,662655
2021/3/28,5113935,4447302,666633
2021/3/29,5301234,4629020,672214
2021/3/30,5470884,4791415,679469
2021/3/31,5690380,5004406,685974
2021/4/1,5896845,5200717,696128
2021/4/2,6057090,5356913,700177
2021/4/3,6258003,5553604,704399
2021/4/4,6372110,5667707,704403
2021/4/5,6555389,5836927,718462
2021/4/6,6758617,6027659,730958
2021/4/7,6990144,6243477,746667
2021/4/8,7252560,6488833,763727
2021/4/9,7569321,6788921,780400
2021/4/10,7814748,7020562,794186
2021/4/11,7996122,7198857,797265
2021/4/12,8330898,7515239,815659
2021/4/13,8601331,7772264,829067
2021/4/14,8898865,8058263,840602
2021/4/15,9205307,8350721,854586
2021/4/16,9525732,8641720,884012
2021/4/17,9779909,8871849,908060
2021/4/18,9980626,9067412,913214
2021/4/19,10243418,9309934,933484
2021/4/20,10481418,9536454,944964
2021/4/21,10798150,9840205,957945
2021/4/22,11158636,10184121,974515
2021/4/23,11526938,10533458,993480
2021/4/24,11813201,10804552,1008649
2021/4/25,12045041,11026753,1018288
2021/4/26,12307785,11280635,1027150
2021/4/27,12564325,11518249,1046076
2021/4/28,12826266,11764830,1061436
2021/4/29,13131871,12049818,1082053
2021/4/30,13420198,12330084,1090114
2021/5/1,13652375,12534545,1117830
2021/5/2,13825476,12696698,1128778
2021/5/3,14051490,12914613,1136877
2021/5/4,14284234,13128106,1156128
2021/5/5,14568067,13394105,1173962
2021/5/6,14924694,13728528,1196166
2021/5/7,15325183,14104164,1221019
2021/5/8,15652046,14411049,1240997
2021/5/9,15923508,14674577,1248931
2021/5/10,16258155,14991030,1267125
2021/5/11,16557932,15272541,1285391
2021/5/12,16904709,15596419,1308290
2021/5/13,17297879,15961692,1336187
2021/5/14,17734322,16363943,1370379
2021/5/15,18098814,16703298,1395516
2021/5/16,18415880,17004917,1410963
2021/5/17,18805903,17381262,1424641
2021/5/18,19088798,17638053,1450745
2021/5/19,19444593,17958575,1486018
2021/5/20,19841562,18312021,1529541
2021/5/21,20329783,18748185,1581598
2021/5/22,20718109,19088516,1629593
2021/5/23,21026606,19372979,1653627
2021/5/24,21381544,19709001,1672543
2021/5/25,21637723,19942129,1695594
2021/5/26,21939046,20195328,1743718
2021/5/27,22347313,20539206,1808107
2021/5/28,22810709,20932071,1878638
2021/5/29,23157029,21207890,1949139
2021/5/30,23472216,21458697,2013519
2021/5/31,23862397,21783824,2078573
2021/6/1,24169346,22007819,2161527
2021/6/2,24522064,22258278,2263786
2021/6/3,24933524,22530589,2402935
2021/6/4,25397448,22825634,2571814
2021/6/5,25772487,23057551,2714936
2021/6/6,26095464,23253261,2842203
2021/6/7,26503428,23507511,2995917
2021/6/8,26855647,23670710,3184937
2021/6/9,27257774,23835779,3421995
2021/6/10,27729564,24010935,3718629
2021/6/11,28240474,24195150,4045324
2021/6/12,28644442,24311588,4332854
2021/6/13,29023531,24429078,4594453
2021/6/14,29470746,24559731,4911015
2021/6/15,29917852,24677550,5240302
2021/6/16,30379626,24775947,5603679
2021/6/17,30885092,24880007,6005085
2021/6/18,31417347,24976923,6440424
2021/6/19,31836378,25043879,6792499
2021/6/20,32189274,25105109,7084165
2021/6/21,32598064,25186098,7411966
2021/6/22,33070640,25251515,7819125
2021/6/23,33585366,25311357,8274009
2021/6/24,34174571,25380107,8794464
2021/6/25,34694975,25440005,9254970
2021/6/26,35135821,25483314,9652507
2021/6/27,35495821,25525737,9970084
2021/6/28,36199547,25610293,10589254
2021/6/29,36776212,25666429,11109783
2021/6/30,37384820,25722762,11662058
2021/7/1,37816373,25752141,12064232
2021/7/2,38417799,25821859,12595940
2021/7/3,38777042,25851422,12925620
2021/7/4,39098901,25882481,13216420
2021/7/5,39701386,25941026,13760360
2021/7/6,40187887,25988670,14199217
2021/7/7,40691665,26032537,14659128
2021/7/8,41312866,26093012,15219854
2021/7/9,41859123,26145631,15713492
2021/7/10,42223929,26178558,16045371
2021/7/11,42509643,26206748,16302895
2021/7/12,43014172,26262399,16751773
2021/7/13,43429836,26301108,17128728
2021/7/14,43856641,26346634,17510007
2021/7/15,44293659,26392399,17901260
2021/7/16,44726461,26439790,18286671
2021/7/17,45027522,26471443,18556079
2021/7/18,45252632,26495816,18756816
2021/7/19,45679090,26541095,19137995
2021/7/20,46016453,26579062,19437391
2021/7/21,46402153,26618984,19783169
2021/7/22,46783901,26661660,20122241
2021/7/23,47140311,26704589,20435722
2021/7/24,47388172,26733653,20654519
2021/7/25,47585222,26757373,20827849
